,title_id,link,title,category,num_episode,last_date
89,731972,https://comic.naver.com/bestChallenge/list.nhn?titleId=731972,빨간 물고기,historical,13,2020-02-29
90,726786,https://comic.naver.com/bestChallenge/list.nhn?titleId=726786,여우자매,historical,52,2020-02-28
91,737061,https://comic.naver.com/bestChallenge/list.nhn?titleId=737061,저승사자 이야기,historical,18,2020-02-28
92,631444,https://comic.naver.com/bestChallenge/list.nhn?titleId=631444,바람따라 물따라,historical,69,2020-02-27
93,733303,https://comic.naver.com/bestChallenge/list.nhn?titleId=733303,범이올시다!,historical,18,2020-02-25
94,644830,https://comic.naver.com/bestChallenge/list.nhn?titleId=644830,왕후의 제국,historical,18,2020-01-30
95,708689,https://comic.naver.com/bestChallenge/list.nhn?titleId=708689,찔레꽃  그너머,historical,77,2020-01-28
96,651073,https://comic.naver.com/bestChallenge/list.nhn?titleId=651073,윤덩까툰,pure,97,2020-03-10
97,734244,https://comic.naver.com/bestChallenge/list.nhn?titleId=734244,웨일즈,pure,23,2020-03-09
98,723972,https://comic.naver.com/bestChallenge/list.nhn?titleId=723972,너를 만나다,pure,37,2020-03-09
99,733782,https://comic.naver.com/bestChallenge/list.nhn?titleId=733782,그녀의 시크릿 사운드,pure,20,2020-03-09
100,739635,https://comic.naver.com/bestChallenge/list.nhn?titleId=739635,수인고등학교,pure,11,2020-03-09
101,541226,https://comic.naver.com/bestChallenge/list.nhn?titleId=541226,숲속의 성,pure,228,2020-03-09
102,644886,https://comic.naver.com/bestChallenge/list.nhn?titleId=644886,하나밖에 안 보여!,pure,44,2020-03-08
103,499692,https://comic.naver.com/bestChallenge/list.nhn?titleId=499692,Twins Love Story (트윈스 러브 스토리),pure,52,2020-03-08
104,721750,https://comic.naver.com/bestChallenge/list.nhn?titleId=721750,오늘의하루,pure,19,2020-03-08
105,730718,https://comic.naver.com/bestChallenge/list.nhn?titleId=730718,연애일기,pure,63,2020-03-08
106,694421,https://comic.naver.com/bestChallenge/list.nhn?titleId=694421,죽음과 동화,pure,100,2020-03-08
107,739377,https://comic.naver.com/bestChallenge/list.nhn?titleId=739377,별님 아래 귤님,pure,8,2020-03-07
108,696801,https://comic.naver.com/bestChallenge/list.nhn?titleId=696801,내 이름을 불러줘,pure,67,2020-03-07
109,730266,https://comic.naver.com/bestChallenge/list.nhn?titleId=730266,랜드라이프,pure,27,2020-03-07
110,731745,https://comic.naver.com/bestChallenge/list.nhn?titleId=731745,쓰지만 달콤해,pure,18,2020-03-07
111,715544,https://comic.naver.com/bestChallenge/list.nhn?titleId=715544,"불편해요, 선배님!",pure,50,2020-03-07
112,736531,https://comic.naver.com/bestChallenge/list.nhn?titleId=736531,오십과 오십의 세계,pure,17,2020-03-06
113,703199,https://comic.naver.com/bestChallenge/list.nhn?titleId=703199,나의 스위치 메이트,pure,60,2020-03-06
114,716597,https://comic.naver.com/bestChallenge/list.nhn?titleId=716597,신의 마녀,pure,39,2020-03-06
115,700068,https://comic.naver.com/bestChallenge/list.nhn?titleId=700068,급식이조아,pure,23,2020-03-06
116,580380,https://comic.naver.com/bestChallenge/list.nhn?titleId=580380,마이동풍,pure,81,2020-03-06
117,721985,https://comic.naver.com/bestChallenge/list.nhn?titleId=721985,달무리의 밤,pure,24,2020-03-06
118,739634,https://comic.naver.com/bestChallenge/list.nhn?titleId=739634,나 좀 내버려둬!,pure,8,2020-03-05
119,738498,https://comic.naver.com/bestChallenge/list.nhn?titleId=738498,미호의 첫사랑,pure,15,2020-03-05
120,701701,https://comic.naver.com/bestChallenge/list.nhn?titleId=701701,아빠는 N살,episode,702,2020-03-10
121,729633,https://comic.naver.com/bestChallenge/list.nhn?titleId=729633,오늘도 그래고래,episode,67,2020-03-10
122,651073,https://comic.naver.com/bestChallenge/list.nhn?titleId=651073,윤덩까툰,episode,97,2020-03-10
123,737235,https://comic.naver.com/bestChallenge/list.nhn?titleId=737235,주짓수와 고양이,episode,18,2020-03-10
124,708203,https://comic.naver.com/bestChallenge/list.nhn?titleId=708203,제목이 7080 만화,episode,87,2020-03-10
125,663697,https://comic.naver.com/bestChallenge/list.nhn?titleId=663697,가짜 좀비왕 4컷,episode,899,2020-03-09
126,728301,https://comic.naver.com/bestChallenge/list.nhn?titleId=728301,도원향,episode,24,2020-03-09
127,719639,https://comic.naver.com/bestChallenge/list.nhn?titleId=719639,중딩툰,episode,86,2020-03-09
128,734894,https://comic.naver.com/bestChallenge/list.nhn?titleId=734894,3인3색 세쌍둥이,episode,26,2020-03-09
129,714267,https://comic.naver.com/bestChallenge/list.nhn?titleId=714267,매지컬팡,episode,110,2020-03-09
130,728729,https://comic.naver.com/bestChallenge/list.nhn?titleId=728729,무대에 서지 않지만 배우입니다,episode,84,2020-03-09
131,716112,https://comic.naver.com/bestChallenge/list.nhn?titleId=716112,전지적덕후시점,episode,88,2020-03-09
132,736513,https://comic.naver.com/bestChallenge/list.nhn?titleId=736513,오늘의 초능력,episode,91,2020-03-09
133,724777,https://comic.naver.com/bestChallenge/list.nhn?titleId=724777,하나리즈,episode,54,2020-03-09
134,738692,https://comic.naver.com/bestChallenge/list.nhn?titleId=738692,뷰티풀 선샤인,episode,12,2020-03-09
